pdf,markdown,status,detail
fortinet_ordering_guides/11. Identity and Access/og-fortiauthenticator.pdf,fortinet_ordering_guides/11. Identity and Access/og-fortiauthenticator.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/11. Identity and Access/og-fortiindentity.pdf,fortinet_ordering_guides/11. Identity and Access/og-fortiindentity.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/11. Identity and Access/og-fortipam.pdf,fortinet_ordering_guides/11. Identity and Access/og-fortipam.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/11. Identity and Access/og-fortitoken.pdf,fortinet_ordering_guides/11. Identity and Access/og-fortitoken.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/11. Identity and Access/og-ztna.pdf,fortinet_ordering_guides/11. Identity and Access/og-ztna.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/12. SASE/og-casb.pdf,fortinet_ordering_guides/12. SASE/og-casb.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/12. SASE/og-fortibranchsase.pdf,fortinet_ordering_guides/12. SASE/og-fortibranchsase.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/12. SASE/og-fortisase.pdf,fortinet_ordering_guides/12. SASE/og-fortisase.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/12. SASE/og-sovereign-sase.pdf,fortinet_ordering_guides/12. SASE/og-sovereign-sase.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/13. Training/og-nse-program.pdf,fortinet_ordering_guides/13. Training/og-nse-program.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/14. Flexible Licensing/og-cmpo.pdf,fortinet_ordering_guides/14. Flexible Licensing/og-cmpo.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/14. Flexible Licensing/og-entagreement.pdf,fortinet_ordering_guides/14. Flexible Licensing/og-entagreement.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/14. Flexible Licensing/og-flex-vm.pdf,fortinet_ordering_guides/14. Flexible Licensing/og-flex-vm.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/15. Advanced Support/og-forticare.pdf,fortinet_ordering_guides/15. Advanced Support/og-forticare.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/16. Managed Services/og-mfgs.pdf,fortinet_ordering_guides/16. Managed Services/og-mfgs.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/16. Managed Services/og-socaas.pdf,fortinet_ordering_guides/16. Managed Services/og-socaas.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/17. Vertical - Operational Technology/og-operational-technology.pdf,fortinet_ordering_guides/17. Vertical - Operational Technology/og-operational-technology.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/18. Vertical - Others/og-education.pdf,fortinet_ordering_guides/18. Vertical - Others/og-education.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/18. Vertical - Others/og-mssp.pdf,fortinet_ordering_guides/18. Vertical - Others/og-mssp.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/18. Vertical - Others/og-telco.pdf,fortinet_ordering_guides/18. Vertical - Others/og-telco.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/19. Other Products and Solutions/og-fortiaigate.pdf,fortinet_ordering_guides/19. Other Products and Solutions/og-fortiaigate.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/19. Other Products and Solutions/og-forticam.pdf,fortinet_ordering_guides/19. Other Products and Solutions/og-forticam.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/19. Other Products and Solutions/og-fortiddos.pdf,fortinet_ordering_guides/19. Other Products and Solutions/og-fortiddos.md,converted,pdfplumber; PDF deleted
fortinet_ordering_guides/19. Other Products and Solutions/og-fortiguard.pdf,fortinet_ordering_guides/19. Other Products and Solutions/og-fortiguard.md,converted,pdfplumber; PDF deleted
