category,title,url,local_path,status,detail
14. Flexible Licensing,FortiFlex Program,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-flex-vm.pdf,14. Flexible Licensing/og-flex-vm.pdf,downloaded,"256,447 bytes"
15. Advanced Support,FortiCare,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticare.pdf,15. Advanced Support/og-forticare.pdf,downloaded,"632,703 bytes"
16. Managed Services,FortiGuard SOCaaS,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-socaas.pdf,16. Managed Services/og-socaas.pdf,downloaded,"501,852 bytes"
16. Managed Services,Managed FortiGate Service,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-mfgs.pdf,16. Managed Services/og-mfgs.pdf,downloaded,"182,691 bytes"
17. Vertical - Operational Technology,OT,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-operational-technology.pdf,17. Vertical - Operational Technology/og-operational-technology.pdf,downloaded,"2,199,759 bytes"
18. Vertical - Others,Education,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-education.pdf,18. Vertical - Others/og-education.pdf,downloaded,"520,190 bytes"
18. Vertical - Others,MSSP,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-mssp.pdf,18. Vertical - Others/og-mssp.pdf,downloaded,"1,089,467 bytes"
18. Vertical - Others,Telco,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-telco.pdf,18. Vertical - Others/og-telco.pdf,downloaded,"399,508 bytes"
19. Other Products and Solutions,FortiAIGate,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiaigate.pdf,19. Other Products and Solutions/og-fortiaigate.pdf,downloaded,"190,819 bytes"
19. Other Products and Solutions,FortiCamera and FortiRecorder,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-forticam.pdf,19. Other Products and Solutions/og-forticam.pdf,downloaded,"327,470 bytes"
19. Other Products and Solutions,FortiDDoS,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiddos.pdf,19. Other Products and Solutions/og-fortiddos.pdf,downloaded,"210,087 bytes"
19. Other Products and Solutions,FortiGate FortiGuard Subscriptions,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/og-fortiguard.pdf,19. Other Products and Solutions/og-fortiguard.pdf,downloaded,"542,393 bytes"
